id,lat,lon,name,poi_type,h3_res_4,h3_res_6,h3_res_8,census_tract
11413999681,41.9605152,-87.7542029,Bacci Pizzeria,restaurant,842664dffffffff,862664d9fffffff,882664d9b3fffff,17031150200
11421501869,41.9524563,-87.6777408,C'est Bien Thai,restaurant,842664dffffffff,862664ca7ffffff,882664ca59fffff,17031050600
11432437276,41.8097016,-87.6030587,De Rice,restaurant,842664dffffffff,862664ce7ffffff,882664cc49fffff,17031390300
11433520944,41.7589846,-87.5868867,Vegan Now 2 Go,restaurant,842664dffffffff,862664ccfffffff,882664cccdfffff,17031430400
11447364469,41.9606261,-87.6884217,Boonie's,restaurant,842664dffffffff,862664d8fffffff,882664d8b7fffff,17031050200
11458222088,41.6923699,-87.6527166,Erin's Cup,cafe,8426645ffffffff,862664567ffffff,8826645663fffff,17031750100
11471910554,41.8796496,-87.6303471,Art of Dosa,restaurant,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031839100
11481042382,41.9319777,-87.6982944,Souk,restaurant,842664dffffffff,862664ca7ffffff,882664ca1dfffff,17031220400
11481078443,41.9322097,-87.7014727,Quality Time,bar,842664dffffffff,862664ca7ffffff,882664ca1dfffff,17031210700
11496714827,41.9342365,-87.6462468,Tuk Tuk Thai Isan Street Food,restaurant,842664dffffffff,862664c17ffffff,882664c105fffff,17031063400
11496827367,41.9431879,-87.654073,Bolivar & Lincoln Venezuelan Cafe,restaurant,842664dffffffff,862664c17ffffff,882664c163fffff,17031062100
11496873369,41.9504302,-87.663922,Doña Tola,restaurant,842664dffffffff,862664c17ffffff,882664c161fffff,17031061200
11496873372,41.9484723,-87.6638978,Sushi Mura,restaurant,842664dffffffff,862664c17ffffff,882664c161fffff,17031061200
11496927185,41.954594,-87.6549214,El Palmar,restaurant,842664dffffffff,862664c17ffffff,882664c169fffff,17031032100
11500992869,41.9522513,-87.6777979,Basant,restaurant,842664dffffffff,862664ca7ffffff,882664ca59fffff,17031050600
11500993176,41.9506594,-87.6761588,Mangi's,restaurant,842664dffffffff,862664c17ffffff,882664c165fffff,17031050600
11500993369,41.9519871,-87.6770844,Martyrs',bar,842664dffffffff,862664ca7ffffff,882664ca59fffff,17031050600
11501636224,41.9524876,-87.7672159,Bluebird Portage Park,restaurant,842664dffffffff,862664cb7ffffff,882664cb51fffff,17031150600
11503840969,41.9665418,-87.6870207,Pastores,restaurant,842664dffffffff,862664d8fffffff,882664d8b5fffff,17031040600
11505059037,41.9659515,-87.7082627,Maman Zari,restaurant,842664dffffffff,862664ca7ffffff,882664ca49fffff,17031140800
11505059038,41.8875428,-87.6652337,Maxwells Trading,restaurant,842664dffffffff,862664cafffffff,882664cad7fffff,17031833000
11505059039,41.9178944,-87.6871931,Manchamanteles,restaurant,842664dffffffff,862664ca7ffffff,882664ca1bfffff,17031221600
11505059040,41.9240374,-87.6975828,Akahoshi Ramen,restaurant,842664dffffffff,862664ca7ffffff,882664ca11fffff,17031221300
11505059041,41.9389555,-87.7240036,Warlord,restaurant,842664dffffffff,862664ca7ffffff,882664ca01fffff,17031210501
11505059042,41.9035,-87.6716716,The Coach House by Wazwan,restaurant,842664dffffffff,862664cafffffff,882664cac3fffff,17031241400
11518279814,41.9048051,-87.6347649,Starbucks,cafe,842664dffffffff,862664c17ffffff,882664c1edfffff,17031080300
11575906601,41.9371004,-87.7202832,Magnifico Coffee,cafe,842664dffffffff,862664ca7ffffff,882664ca01fffff,17031210501
11601334376,41.9794963,-87.6548341,WOW Pizzeria,restaurant,842664dffffffff,862664d8fffffff,882664d89dfffff,17031030706
11638848188,41.9661505,-87.6577115,Iyanzé,restaurant,842664dffffffff,862664d8fffffff,882664d897fffff,17031830700
11638898003,41.9655573,-87.6573011,Stan's Donuts & Coffee,cafe,842664dffffffff,862664d8fffffff,882664d897fffff,17031830700
11639022369,41.9090434,-87.6475877,Tecalitlan,restaurant,842664dffffffff,862664c17ffffff,882664c131fffff,17031842200
11642277231,41.9612151,-87.7171458,Restaurant Los Molcajetes,restaurant,842664dffffffff,862664ca7ffffff,882664ca45fffff,17031140702
11663995728,41.802286,-87.5903073,Love & Light Cafe,cafe,842664dffffffff,862664ce7ffffff,882664ce37fffff,17031410100
11672692555,41.8812529,-87.6652285,Crave Kabob,restaurant,842664dffffffff,862664cafffffff,882664cad7fffff,17031833100
11672692558,41.8817163,-87.6607577,Ranalli's,restaurant,842664dffffffff,862664cafffffff,882664cad7fffff,17031833000
11672692560,41.8818201,-87.6545557,Poke Poké,restaurant,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
11672692563,41.8811087,-87.6518012,Stelios Bottles & Bites,bar,842664dffffffff,862664cafffffff,882664cad3fffff,17031833100
11673117985,41.882683,-87.64147,Asadito,restaurant,842664dffffffff,862664c1fffffff,882664c1adfffff,17031280100
11673117986,41.8830031,-87.6443758,TenGoku Aburiya,restaurant,842664dffffffff,862664c1fffffff,882664c1adfffff,17031280100
11673117987,41.8828518,-87.644384,Bonyeon,restaurant,842664dffffffff,862664c1fffffff,882664c1adfffff,17031280100
11673117988,41.885526,-87.6430092,Taqueria Mexicana,restaurant,842664dffffffff,862664c1fffffff,882664c1adfffff,17031280100
